timestamp,device_id,indoor_temp_c,outdoor_temp_c,target_temp_c,indoor_humidity_percent,compressor_power_watts,refrigerant_pressure_psi,airflow_cfm,health_score,status_label
2026-01-31 23:10:20,AC_UNIT_001,23.03,26.5,23,49.92,911.62,70.74,354.34,100.0,Normal
2026-02-01 00:10:20,AC_UNIT_001,22,26.02,22,40.73,1023.93,74.47,389.51,100.0,Normal
2026-02-01 01:10:20,AC_UNIT_001,24.18,26.07,24,50.18,816.92,73.68,403.9,100.0,Normal
2026-02-01 02:10:20,AC_UNIT_001,22.3,24.82,22,48.55,835.88,68.54,354.93,100.0,Normal
2026-02-01 03:10:20,AC_UNIT_001,22,25.75,22,40.34,922.22,72.66,397.52,100.0,Normal
2026-02-01 04:10:20,AC_UNIT_001,24.36,25.25,24,51.32,803.59,67.75,374.28,100.0,Normal
2026-02-01 05:10:20,AC_UNIT_001,22,25.32,22,48.67,1054.14,68.45,392.04,100.0,Normal
2026-02-01 06:10:20,AC_UNIT_001,23,26.36,23,52.03,933.6,74.51,361.92,100.0,Normal
2026-02-01 07:10:20,AC_UNIT_001,22,24.67,22,50.69,802.79,70.85,392.59,100.0,Normal
2026-02-01 08:10:20,AC_UNIT_001,22,32.16,22,44.07,1193.88,71.29,405.16,100.0,Normal
2026-02-01 09:10:20,AC_UNIT_001,23,33.89,23,51.36,1087.03,68.43,396.2,100.0,Normal
2026-02-01 10:10:20,AC_UNIT_001,23,30.95,23,47.66,1317.1,73.69,383.35,100.0,Normal
2026-02-01 11:10:20,AC_UNIT_001,23.35,33.92,23,48.08,1156.19,69.21,373.38,100.0,Normal
2026-02-01 12:10:20,AC_UNIT_001,24.2,28.85,24,42.45,1173.75,74.13,374.53,100.0,Normal
2026-02-01 13:10:20,AC_UNIT_001,23,28.55,23,50.18,1201.51,67.1,405.04,100.0,Normal
2026-02-01 14:10:20,AC_UNIT_001,23.21,29.69,23,41.61,1131.3,66.39,366.84,100.0,Normal
2026-02-01 15:10:20,AC_UNIT_001,22,28.34,22,48.81,1036.64,71.46,404.08,100.0,Normal
2026-02-01 16:10:20,AC_UNIT_001,22.19,28.6,22,49.92,1147.83,70.91,416.68,100.0,Normal
